improve_V	504308	382895
voice_N	598180	382077
catch_V	466319	382023
shop_N	576846	381224
happy_J	521678	380261
attention_N	431954	380027
human_J	600336	379774
land_N	746220	379679
design_V	469425	378790
international_J	513245	377684
poor_J	472326	377502
structure_N	563498	376315
scheme_N	612390	375648
maintain_V	431390	375374
wear_V	473100	373095
list_N	510175	372840
parent_N	696669	371497
page_N	585865	371082
window_N	502694	369803
manager_N	613293	368415
point_V	408127	368125
choice_N	483379	368002
movement_N	550186	366369
benefit_N	577615	366280
anyone_N	433304	365243
size_N	526283	363394
wall_N	499584	363078
application_N	859876	362840
officer_N	538244	362808
demand_N	525798	362424
loss_N	596475	360828
publish_V	482735	360717
heart_N	487293	358135
refer_V	510532	357336
central_J	457087	356817
visit_V	446395	355344
operate_V	440191	354863
love_V	460396	354555
step_N	446843	353003
director_N	541189	352938
answer_N	464386	352861
model_N	592956	351853
storey_N	487940	350950
identify_V	443531	350779
pull_V	418168	350506
difficulty_N	418137	349233
before_R	406654	349223
top_J	438750	349117
trade_N	623925	347679
kill_V	470165	347463
regard_V	403109	346629
site_N	650010	345241
anyway_R	481086	344097
act_V	422244	343967
nearly_R	389718	343402
police_N	659237	343279
set_N	455986	343010
quickly_R	398740	342923
at_least_N	391425	342646
health_N	688023	342461
increase_N	453893	340491
court_N	945458	339930
obviously_R	449425	339226
suffer_V	417381	338309
test_N	613134	338106
charge_N	515593	337465
occur_V	463496	337007
successful_J	393873	336990
student_N	868601	335795
mention_V	416751	335589
natural_J	458146	334767
further_R	376988	334200
nice_J	553656	334165
news_N	453080	334086
serious_J	433178	334013
note_N	490250	333775
compare_V	421932	333369
aspect_N	417719	333137
wonder_V	396122	332175
previous_J	384920	331620
colour_N	573575	331240
argue_V	448761	330921
significant_J	397558	330824
total_J	436562	330760
deal_N	420579	330541
generally_R	383502	330116
determine_V	408013	329684
tend_V	423390	329251
attempt_N	375089	329071
intend_V	389485	329028
space_N	466224	328383
summer_N	434119	328237
reflect_V	388390	327499
pound_N	832208	327401
date_N	559769	326200
care_N	695986	326135
son_N	462433	325029
maybe_R	527146	324865
modern_J	431990	322708
street_N	401727	321971
complete_V	449201	321933
obtain_V	442780	321144
principle_N	427058	320566
datum_N	554261	320209
listen_V	409438	318616
appropriate_J	426301	317899
computer_N	712855	316819
thought_N	378013	316732
language_N	693827	316708
discussion_N	419196	316154
avoid_V	361668	314350
alone_R	356107	313452
committee_N	461563	313200
original_J	402821	312575
help_N	402691	312072
worker_N	546950	310602
direct_J	380103	309952
top_N	401978	309736
agreement_N	513211	309696
throw_V	354497	309245
interesting_J	396003	309238
miss_V	370008	309089
leader_N	484174	308795
property_N	588450	308574
as_well_N	521589	308412
growth_N	429210	308295
propose_V	401840	308105
statement_N	467424	308035
degree_N	447187	307871
knowledge_N	444828	307572
resource_N	432183	305698
tree_N	493863	305333
specific_J	386957	304332
responsibility_N	408839	304021
organize_V	404385	303530
mile_N	459411	302864
out_of_N	341804	302704
indicate_V	394098	302334
response_N	398782	302246
show_N	462213	302200
advantage_N	352687	301858
future_J	357914	301576
ready_J	346855	300352
depend_V	352076	300131
design_N	531846	299422
normal_J	412733	299003
treat_V	399564	297684
love_N	432350	297135
bank_N	573733	297097
yesterday_N	671530	297007
replace_V	356945	295866
machine_N	567977	294943
basic_J	345157	294327
start_N	353097	294237
move_N	342304	294066
sure_R	347597	294003
trouble_N	398485	292216
box_N	394567	291011
variety_N	382611	290076
contract_N	613338	289670
control_V	348990	288885
game_N	595697	288755
traditional_J	359163	287910
hair_N	480534	287843
announce_V	445348	287389
remove_V	387504	285853
heavy_J	355970	285798
immediately_R	327281	285563
share_V	361834	285076
style_N	444992	285065
skill_N	469510	285038
discover_V	339517	285023
prevent_V	353211	284979
note_V	348137	284871
admit_V	337623	283654
risk_N	495473	283529
deep_J	344308	283473
tax_N	596756	282944
assume_V	345457	282717
aware_J	351720	282571
complete_J	344728	282350
return_N	380693	281599
lay_V	350335	281541
drop_V	319019	281332
save_V	414268	281212
pattern_N	457542	280848
task_N	391791	280820
th_N	329488	279833
argument_N	410732	279792
function_N	432147	279088
provision_N	441626	277825
individual_N	432617	277396
direction_N	353201	276492
share_N	799310	275700
refuse_V	326306	275164
analysis_N	451819	275035
region_N	486358	274838
station_N	465372	274333
attend_V	390546	273819
talk_N	362202	273219
useful_J	346481	273130
fully_R	322704	272458
importance_N	308483	272131
glass_N	367785	272090
popular_J	348062	272065
responsible_J	325266	271332
sign_N	357369	271019
security_N	395561	270524
ability_N	331263	269324
call_N	358856	269320
circumstance_N	366639	269133
highly_R	307529	268994
push_V	310601	268483
competition_N	374218	268207
base_N	348665	267893
reveal_V	313884	267862
claim_N	406554	265205
council_N	494368	264932
considerable_J	301043	264610
capital_N	437996	263612
leg_N	377881	263031
hospital_N	465611	262745
doctor_N	562218	261405
result_V	303039	261106
proposal_N	362492	260847
access_N	383412	260576
possibility_N	303063	260425
define_V	307900	260157
technology_N	505156	259688
population_N	408100	259343
husband_N	389222	259317
hit_V	323405	259165
afternoon_N	334545	259001
annual_J	313115	258985
otherwise_R	311302	258490
legal_J	411684	258336
advice_N	378757	258319
majority_N	319706	258017
department_N	395525	257940
measure_N	330973	256932
character_N	400267	256892
chairman_N	326671	256879
customer_N	574953	256372
occasion_N	302028	255517
contact_N	382950	254807
hang_V	299923	254740
independent_J	303723	254338
church_N	649292	254154
plant_N	598624	253972
a_bit_N	351312	252903
board_N	466102	252686
dark_J	315197	252005
protect_V	367158	251365
completely_R	298690	251237
requirement_N	362383	251219
answer_V	319162	251118
i_N	365242	250623
campaign_N	372773	250365
attitude_N	336207	249406
currently_R	314037	249262
adopt_V	291192	249237
directly_R	285305	249122
red_J	311634	248892
conference_N	402532	248885
travel_V	313351	248356
brother_N	350623	248285
television_N	385141	247815
gain_V	292923	247665
arise_V	339928	247316
aim_V	309516	247267
somebody_N	360989	247229
visit_N	338101	247163
cold_J	326719	245617
